MAC Address,Device Type
20-8E-0B-3C-7A-0A,A_1
A1-10-67-FF-E0-36,C_3
6F-F5-D2-AA-AC-55,C_3
A2-01-15-21-F4-9A,A_1
7D-77-3E-46-FB-80,D_4
78-5C-98-72-85-13,D_4
1D-A0-2B-5D-0B-ED,B_2
4F-75-AC-2F-76-A0,A_1
EF-32-09-5E-BE-C1,B_2
EC-0C-0F-84-67-42,D_4
FF-26-95-63-6A-FE,B_2
0F-D2-47-37-BE-7C,B_2
2A-F7-79-71-C7-A5,C_3
FA-05-86-F1-5B-54,A_1
EA-09-D6-1B-4E-0D,D_4
0B-35-9E-14-C2-A0,A_1
A7-4F-B4-01-09-30,C_3
5F-DC-9C-34-36-11,D_4
98-C8-BD-47-78-23,D_4
D2-17-27-C9-16-D4,C_3
8F-F0-CF-D3-E9-1C,C_3
3D-EE-A4-88-34-3E,D_4
66-52-16-A4-E3-6F,B_2
D1-66-1C-D1-F6-7F,C_3
EF-B3-FD-23-7F-01,B_2
52-79-84-D1-DF-C0,A_1
99-95-18-9F-F6-F2,D_4
55-44-43-50-2F-47,C_3
55-FB-A2-F6-7A-93,B_2
98-9F-B0-ED-64-F5,B_2
E9-57-44-EB-BC-CF,C_3
41-EE-69-B6-B2-FB,D_4
37-07-98-64-6B-29,D_4
4E-04-40-7F-F2-63,A_1
31-1F-05-38-A3-05,A_1
39-64-CB-1E-03-BB,B_2
DF-55-EA-81-99-4A,B_2
FD-13-AD-03-54-2B,D_4
20-31-C4-66-37-20,A_1
62-49-08-DB-C3-6F,C_3
12-66-34-08-FD-81,B_2
17-EC-7F-71-E0-0E,D_4
2E-98-D7-44-74-C2,A_1
38-B0-63-90-84-FE,A_1
C4-58-8E-98-7A-1F,A_1
66-AD-63-F4-13-5D,A_1
73-CE-8E-A0-2F-30,A_1
AE-D0-06-2F-D0-B1,A_1
33-44-A0-E8-97-FA,D_4
24-3F-7E-CE-3F-A3,B_2
DE-31-81-60-D6-A9,A_1
BB-AC-60-32-AF-ED,B_2
4E-10-1D-C6-FA-92,C_3
76-89-E4-16-16-95,B_2
9B-63-21-DC-92-06,A_1
96-13-15-28-4D-90,A_1
AE-8F-FB-F8-86-1E,A_1
D5-04-D0-FC-CC-4D,D_4
F2-87-EA-ED-09-0D,B_2
38-B5-C7-13-55-74,B_2
A6-B4-34-20-6A-D2,B_2
DF-EB-F0-66-24-FD,B_2
60-B4-BA-B3-E1-8F,C_3
9D-CC-18-76-98-BC,A_1
