MAC Address,Device Type
CD-F9-60-1D-D2-81,D_4
4E-10-40-BB-D1-A7,B_2
1D-BD-CF-3F-4B-FE,C_3
60-70-73-0F-1D-92,B_2
4B-26-F5-78-FB-42,A_1
2F-96-10-10-18-B0,D_4
4A-AA-CB-E9-EA-8F,D_4
80-C4-4D-7D-4E-F2,D_4
D2-2A-FC-F2-15-EE,C_3
16-DA-F5-6C-C7-6F,A_1
4D-7F-FF-E0-A3-75,B_2
92-5D-16-F3-9D-1B,B_2
13-04-53-5D-68-65,B_2
2B-15-88-BD-2A-19,B_2
15-DF-B3-0A-06-BE,B_2
D0-6D-AA-CD-18-79,B_2
56-4C-E7-37-13-24,B_2
71-D5-1E-C2-D8-54,D_4
B4-A3-6F-B6-CB-D4,B_2
B9-8C-DA-53-4D-CD,D_4
42-8B-EC-DF-04-11,A_1
53-88-BB-12-CC-71,A_1
86-40-F6-91-DF-B3,C_3
41-C3-1A-D5-33-65,B_2
DE-33-76-12-40-F6,C_3
21-F5-67-3F-94-2A,D_4
5F-35-D2-89-1D-97,A_1
8D-65-18-17-27-0C,B_2
9E-EB-43-F2-FF-A6,B_2
04-39-0B-67-7E-F1,D_4
74-BB-E1-D6-A2-03,D_4
C3-B0-7D-BF-F4-61,D_4
A7-4F-A6-68-C1-2C,C_3
AC-D9-8E-CE-6B-A3,A_1
DF-61-35-72-4E-47,A_1
CA-D8-E6-5C-A7-77,B_2
3B-5E-5D-9C-ED-86,D_4
A9-2A-65-31-FE-99,A_1
50-21-CC-BC-A2-04,C_3
3D-A5-67-22-26-8C,C_3
DC-93-3B-9F-1B-22,D_4
F3-E1-77-05-0D-AC,D_4
6A-0F-33-80-27-DE,C_3
01-A0-2B-45-1A-2F,B_2
02-25-4B-AC-C9-8A,C_3
37-48-3D-11-24-EA,B_2
2A-BE-B6-5F-A5-81,B_2
98-B9-B5-E2-2E-1F,B_2
03-56-F7-60-7D-D4,B_2
62-CC-DE-A2-F3-E6,C_3
0E-56-46-91-E6-48,D_4
B3-2C-CA-A0-18-37,C_3
64-00-BA-5B-03-4E,B_2
C9-29-73-43-B9-CD,D_4
0E-8E-C9-86-DB-3B,D_4
BB-64-20-FA-C8-06,A_1
BD-84-AA-B7-53-A6,D_4
20-D8-EC-47-FF-AD,D_4
8A-CF-CC-9D-61-95,A_1
0E-61-E7-5D-C0-DC,C_3
93-08-D7-BC-1E-3E,D_4
52-4A-D1-42-5C-EC,C_3
40-F0-24-4E-A6-B3,A_1
8E-6F-BC-DC-84-51,A_1
99-1A-98-DC-42-9C,D_4
57-C4-B6-82-7E-5D,B_2
38-A6-63-CB-A2-67,C_3
B9-7C-E7-D7-A4-0F,D_4
64-2D-09-EE-76-D3,D_4
90-A3-A6-0C-CE-EC,B_2
8D-A4-FF-A1-96-4B,B_2
68-B7-D3-73-3A-3B,D_4
1B-1F-B0-D9-31-FD,C_3
73-F1-27-DF-31-7E,A_1
E7-F3-F9-5E-9B-22,B_2
C0-60-44-8D-81-53,C_3
66-A1-E1-87-F5-1C,B_2
02-3C-2A-F2-B7-36,D_4
B5-C8-77-E1-A2-28,D_4
F3-01-4D-3F-6D-5D,C_3
41-1B-A5-07-2E-64,C_3
B7-70-94-63-11-FD,A_1
32-A6-04-6B-25-7B,B_2
23-61-EA-05-27-72,D_4
31-44-F3-39-BF-16,B_2
69-62-50-E4-D8-95,D_4
FE-E8-28-53-4B-26,B_2
8A-3F-68-71-4B-96,C_3
AD-38-8D-83-22-8E,D_4
5A-10-41-F1-EF-28,B_2
B7-66-8A-CD-E8-E7,B_2
47-4D-2B-F3-65-12,C_3
0C-DC-6C-DC-BD-85,D_4
EA-6C-53-49-A1-58,D_4
9F-3D-70-EB-F0-04,D_4
84-0B-93-E2-D4-56,B_2
ED-33-FC-11-BC-22,A_1
72-14-88-C6-E6-8A,A_1
A0-06-93-24-75-75,B_2
7C-E4-9C-2B-CE-20,B_2
3A-65-39-CE-BC-3B,C_3
74-59-B6-28-77-C0,A_1
63-C0-5C-CF-41-92,A_1
8F-3E-55-B6-DD-AA,B_2
5C-47-97-D6-4F-F9,D_4
04-38-8D-41-79-DF,A_1
BE-C4-8C-14-AD-A0,B_2
D9-64-41-9E-76-21,B_2
EA-90-A6-BB-8D-5A,C_3
63-FA-37-19-31-AF,D_4
0C-DD-D0-D4-40-D0,C_3
C9-CA-A2-C4-FD-DA,A_1
84-D1-A8-75-8E-A9,B_2
60-CA-E1-0D-BA-0D,B_2
34-A6-ED-3F-85-AD,A_1
DA-04-83-D6-25-4E,B_2
56-D1-E5-2C-41-EC,A_1
41-68-42-89-1D-B7,A_1
94-A5-39-F4-C9-CB,A_1
5A-47-C2-BC-12-F6,B_2
AB-FF-DF-2E-05-B7,C_3
B8-E4-1A-32-F8-A9,C_3
E8-F8-03-B3-65-9D,B_2
15-D8-BA-E2-61-00,C_3
3E-8B-2C-09-EF-80,D_4
D5-24-E5-49-12-98,C_3
6F-92-70-97-B7-90,A_1
9C-E6-81-34-78-AB,B_2
54-A9-F0-E3-7A-D4,D_4
83-9E-9F-14-17-12,D_4
A3-A1-EB-B2-B6-05,D_4
2D-EF-7A-7A-5F-E6,A_1
83-88-4A-7C-EC-BF,A_1
6F-41-2F-47-24-DA,C_3
E8-D2-80-6D-31-B3,A_1
65-01-36-21-B3-FC,D_4
CE-B5-FF-FC-4E-10,C_3
75-ED-7B-1B-82-F9,A_1
B9-1D-00-08-3A-07,B_2
37-26-D9-E2-E1-31,C_3
95-4E-BF-BE-06-2C,B_2
DD-4A-FA-B5-6E-BF,D_4
9A-EF-EF-13-DC-F3,A_1
CE-26-7B-8A-B5-CE,C_3
0D-74-D7-8E-19-0E,B_2
EA-12-68-96-D2-49,A_1
47-A9-76-0E-B4-D6,A_1
20-F2-83-15-0F-61,B_2
56-D3-C8-03-DE-1B,B_2
CA-2A-D3-60-03-DE,C_3
41-A4-83-53-8D-0D,B_2
A2-29-9F-42-F3-39,C_3
2F-6C-5A-72-E1-15,B_2
CE-10-60-27-DF-23,A_1
75-4A-4D-35-9D-20,A_1
84-E6-CF-11-B0-13,B_2
2C-A6-F8-0B-7B-E2,C_3
62-94-E5-61-A3-55,A_1
54-8E-7A-51-A0-F5,B_2
9F-5E-65-A5-EE-53,A_1
22-59-8F-14-48-FB,B_2
FF-D0-9D-3A-E3-99,C_3
C6-2C-6E-A0-74-E2,C_3
39-FE-41-D6-6D-24,D_4
70-09-A7-91-16-2E,C_3
80-33-65-7D-F4-FA,B_2
EE-AB-81-3C-71-DD,C_3
34-37-A1-83-16-16,D_4
1B-73-6C-D4-49-CB,D_4
B5-BD-D8-38-82-A6,B_2
3C-12-1E-1D-3B-60,C_3
2C-3C-3E-2F-5F-ED,A_1
53-DA-15-7E-AC-0B,A_1
6E-91-97-FD-43-C2,D_4
11-89-78-7F-DE-66,C_3
20-01-30-E0-5E-25,D_4
42-7A-70-B5-2C-C3,D_4
7E-DC-64-1F-D6-BC,C_3
03-F5-7B-A6-93-CA,C_3
92-AA-F9-DC-29-B4,B_2
9C-98-50-19-E3-46,B_2
C6-0C-CC-4E-BE-F0,C_3
1E-48-3C-74-33-DC,C_3
3E-A8-FC-CA-0A-43,B_2
3D-7E-36-3C-C5-A0,C_3
20-32-A3-1B-69-2D,C_3
9C-36-7E-74-E3-92,D_4
95-25-8F-0B-62-03,A_1
E5-82-00-DF-44-28,D_4
EA-A0-6B-92-35-46,C_3
05-2C-8C-E9-3A-12,A_1
12-E0-F2-63-1D-A0,C_3
59-07-D6-88-40-A3,D_4
B2-C2-0D-C3-C7-6C,A_1
59-67-07-5D-2D-2E,B_2
A7-C0-E0-79-8D-CE,D_4
6B-60-93-65-6D-57,B_2
72-D9-09-B5-7A-EC,C_3
9E-E9-BB-29-89-E3,B_2
27-FC-F2-13-AC-66,B_2
B3-83-B5-22-8E-A3,C_3
69-DF-02-37-7D-79,B_2
E4-2D-CA-2A-1C-DE,D_4
54-BF-B9-25-D8-CF,B_2
33-74-86-43-05-03,A_1
25-0D-AF-DB-F5-91,A_1
A3-77-65-AB-D8-54,C_3
CE-34-13-BF-26-A3,B_2
4F-7C-56-E8-CB-CE,C_3
E6-CF-37-93-85-36,A_1
98-C7-2E-A3-CC-69,D_4
51-03-E0-92-2E-5B,A_1
FB-5A-EA-9B-DF-7B,A_1
F3-6D-A6-44-60-B9,B_2
24-97-5F-32-65-5B,D_4
1D-C2-3D-E9-FC-62,D_4
1C-04-C9-A7-8C-6C,B_2
9D-C8-86-33-4D-D8,C_3
A8-97-F8-B3-5C-CA,A_1
E0-ED-06-A4-88-85,D_4
71-A9-03-00-60-97,A_1
63-94-15-AE-BA-22,D_4
4B-22-AC-BF-39-74,A_1
F1-75-4C-B5-BB-23,B_2
9C-E5-38-41-D2-20,D_4
95-36-C8-CC-AD-8C,C_3
2A-81-C5-19-77-CA,A_1
B0-64-57-93-81-5D,D_4
37-DB-0A-96-01-DF,C_3
26-A8-D1-01-0B-46,C_3
22-75-58-4F-05-20,B_2
20-59-22-A1-1F-F2,B_2
C7-96-99-1F-EF-35,C_3
9C-F5-1A-67-92-6E,D_4
18-DA-DC-14-E0-51,A_1
4B-61-66-33-97-38,A_1
E9-DA-FC-DE-4E-7D,C_3
C1-79-57-0C-F6-AE,A_1
BB-80-0C-27-EF-5B,D_4
99-0F-B4-35-E4-4C,A_1
3B-A7-0D-ED-99-B9,B_2
1E-41-A9-F7-B6-74,D_4
DB-0E-49-C3-80-35,A_1
D3-3E-E6-36-69-66,C_3
3D-A2-58-99-F8-BC,A_1
31-A9-07-B6-F6-6F,D_4
B4-8B-B6-7C-C5-75,D_4
C7-73-7C-F5-F9-16,B_2
9F-23-34-6A-ED-C7,C_3
5A-B8-97-5E-F0-6B,B_2
E7-59-41-CF-C1-CF,B_2
3D-B8-49-AC-DC-47,D_4
14-33-72-2D-D8-F5,B_2
05-64-9D-AE-72-BC,B_2
64-8B-A8-F6-0A-0C,B_2
2D-02-8E-CE-99-A4,D_4
57-25-6A-1D-CC-FE,C_3
22-73-60-59-38-66,A_1
8C-CF-C9-7D-8B-51,A_1
98-E1-AC-F7-CD-84,D_4
8A-86-3D-3A-E3-44,B_2
11-78-F5-F0-AB-39,A_1
DB-43-FC-09-BC-47,A_1
82-D1-63-53-9A-D0,B_2
3A-E2-0C-B7-86-43,C_3
1E-F5-A4-73-8E-31,C_3
5D-BE-60-BF-9C-F8,B_2
0E-96-26-EF-3B-A7,B_2
E1-0A-A4-50-72-09,D_4
F0-68-E0-A7-35-04,B_2
D3-30-83-4D-C4-57,D_4
72-E2-74-F2-25-C4,B_2
97-30-76-30-ED-5A,A_1
84-1B-E1-1D-9B-F2,A_1
4C-53-B1-28-C6-E8,A_1
64-BE-EE-7C-E0-A8,B_2
B7-B1-E4-0B-43-32,D_4
4E-0D-B3-D2-FD-4A,D_4
F9-FC-47-85-87-64,B_2
9A-FB-95-B0-08-D9,B_2
2B-9C-6C-7E-F0-92,B_2
B5-BE-3E-C6-77-67,B_2
A7-78-7A-FB-99-58,A_1
50-6F-59-82-9F-67,B_2
EF-0D-93-63-39-1D,C_3
66-E4-5B-53-79-67,A_1
A2-48-78-07-76-CE,B_2
45-6B-E9-4C-7E-13,A_1
FA-1C-65-64-82-45,C_3
36-1E-47-4E-68-33,C_3
1C-31-04-2C-F6-BB,B_2
5A-9F-43-54-4D-0A,D_4
B8-BE-6E-D0-9B-E4,B_2
92-83-B6-E7-EB-83,D_4
63-A1-B7-EE-B7-F7,A_1
16-08-73-DB-4F-C0,C_3
3A-EB-59-6C-72-E7,A_1
64-52-7C-68-1C-7D,C_3
38-FD-EF-D1-3C-F0,D_4
D6-17-DD-12-2A-AC,A_1
85-5F-85-21-F3-81,D_4
B8-87-A1-83-56-57,A_1
C0-20-52-7B-D3-88,B_2
AF-FD-F3-71-0D-A5,A_1
15-33-73-7E-F4-3C,A_1
BA-7C-F5-34-F8-94,D_4
C0-7D-46-96-E9-B3,D_4
56-02-D8-50-62-B1,B_2
E8-F7-A7-AD-9A-C4,A_1
46-D2-02-55-68-72,A_1
0A-F8-77-22-B3-44,C_3
E8-98-AA-39-C0-C1,C_3
96-BE-9C-53-4D-27,A_1
52-74-92-95-D4-04,B_2
3A-65-25-46-35-34,D_4
0A-B9-83-20-8F-30,B_2
B7-44-6E-3B-D3-50,B_2
2E-F9-34-1D-3B-30,D_4
8C-1A-C3-FE-7C-4B,A_1
9D-96-2F-59-8B-3A,B_2
E2-80-B4-97-5C-25,D_4
33-06-00-E8-94-03,C_3
9F-35-A5-C6-DC-AE,C_3
6A-C1-B3-27-FF-62,D_4
95-24-37-AA-40-40,C_3
2D-4F-E4-93-FA-7E,D_4
7B-3C-41-F8-D8-D9,C_3
26-36-DD-5B-C2-61,B_2
08-AC-1D-CF-EF-DE,D_4
1D-D8-D0-55-5D-D8,B_2
57-40-27-38-BE-F8,D_4
3A-6C-0C-7D-DF-35,A_1
F4-A9-0B-9A-E8-1B,B_2
3D-F3-C0-2C-1F-6C,C_3
F7-7F-7D-78-24-63,C_3
1F-87-AE-89-B7-DC,D_4
C8-D1-70-5A-87-17,C_3
C7-FB-A0-B8-3C-F7,A_1
22-8E-02-04-31-8D,C_3
CE-C6-D1-C0-03-A0,A_1
5C-DF-EF-92-36-AC,C_3
63-DC-6A-6D-39-71,A_1
C7-9D-6B-B7-45-57,C_3
F8-B5-D7-43-0F-F6,A_1
C7-8C-59-59-7F-4B,B_2
EA-BB-A8-0D-96-1E,A_1
12-F0-7E-BE-89-F6,D_4
FB-9C-44-07-AB-9C,C_3
24-10-56-BC-00-64,B_2
CC-F0-02-2A-52-5A,D_4
0F-6F-E4-72-45-FA,A_1
F8-96-90-EE-0C-98,C_3
DE-23-70-46-6E-96,B_2
53-32-4D-B3-89-DD,D_4
32-6F-97-53-CF-36,B_2
AC-EC-06-2D-F6-AC,B_2
CF-2F-15-FA-4C-C7,A_1
94-FE-30-FD-B2-1A,A_1
E8-95-EB-0C-A9-5B,C_3
7D-0C-2B-41-6D-90,B_2
04-6B-06-A7-EC-30,B_2
E0-6A-2A-69-55-D1,C_3
3E-56-2D-1A-19-CC,D_4
77-8B-12-01-B6-8D,C_3
4B-90-1C-A0-59-65,A_1
01-FF-65-88-FF-7D,A_1
F3-A1-98-45-4B-CF,D_4
3F-6F-E2-DA-08-D2,D_4
42-72-36-B2-E0-F6,C_3
4B-C9-74-60-F8-21,A_1
01-03-F0-0C-E8-31,C_3
A9-E5-A4-80-B0-19,C_3
4E-83-C1-34-1F-F6,D_4
79-79-9E-24-26-4C,A_1
10-19-0B-AB-EC-52,D_4
1A-40-B8-80-A3-75,D_4
35-9F-A6-DF-19-08,C_3
84-20-13-32-BF-EA,D_4
04-6D-42-4B-F5-18,A_1
98-3D-2B-3C-65-81,A_1
97-48-47-9B-C4-35,D_4
27-2F-3A-08-61-72,B_2
